Template,In layout,Enabled,Loc. X,Loc. Y,Loc. Z,X focus,Y focus,Cant vect.,Cant vect.,Cant vect.,Aim pt. X,Aim pt. Y,Aim pt. Z
,,,[m],[m],[m],[m],[m],<i>,<j>,<k>,[m],[m],[m]
0,1,1,264.08,226.35,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-73.58,599.91,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-140.28,563.22,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,44.22,602.79,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,232.13,281.4,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,226.92,368.62,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-173.63,528.67,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,112.63,569.4,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-179.04,503.36,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,135.85,493.71,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-44.22,602.79,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,14.75,604.23,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,147.62,536.51,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,219.6,168.35,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-14.75,604.23,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,154.27,511.5,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,209.08,444.82,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-252.98,306.67,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-112.63,569.4,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-241.3,205.31,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,84.71,574.21,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-135.85,493.71,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-250.03,376.44,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,183.33,478.12,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-251.78,352.1,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-253.01,329.21,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-147.62,536.51,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,252.55,285.49,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-218.66,417.12,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-154.27,511.5,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-84.71,574.21,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,121.27,543.08,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,229.72,345.87,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-223.49,392.78,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,56.58,577.66,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,129.12,518.42,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-226.92,368.62,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,214.87,132.39,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-56.58,577.66,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-209.08,444.82,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,28.33,579.74,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-240.74,226.94,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-28.33,579.74,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,0,580.43,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-121.27,543.08,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-232.13,281.4,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-183.33,478.12,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,220.68,187.77,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,94.62,548.35,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-129.12,518.42,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,231.24,323.38,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,103.67,524.1,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,189.39,431.19,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-264.08,226.35,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,195.89,407.24,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,104.17,211.11,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-219.6,168.35,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,159.78,486.49,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,200.97,383.38,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-94.62,548.35,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,208.4,338.55,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,217.87,150.05,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,37.46,510.69,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,205.34,360.88,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,67.75,552.31,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
0,1,1,-103.67,524.1,0,NULL,NULL,NULL,NULL,NULL,0,0,106.5
